image,left,right
image_s45_001,real,fake
image_s45_002,real,fake
image_s45_004,real,fake
image_s45_005,real,fake
image_s45_007,real,fake
image_s45_009,real,fake
image_s45_010,real,fake
image_s45_011,real,fake
image_s45_014,real,fake
image_s45_015,real,fake
image_s45_016,real,fake
image_s45_018,fake,real
image_s45_019,fake,real
image_s45_022,fake,real
image_s45_023,fake,real
image_s45_024,fake,real
image_s45_026,real,fake
image_s45_032,fake,real
image_s45_033,fake,real
image_s45_034,real,fake
image_s45_036,fake,real
image_s45_038,fake,real
image_s45_040,real,fake
image_s45_041,real,fake
image_s45_043,real,fake
image_s45_045,fake,real
image_s45_047,real,fake
image_s45_048,real,fake
image_s45_049,fake,real
image_s45_050,fake,real
image_s45_051,fake,real
image_s45_055,fake,real
image_s45_057,fake,real
image_s45_061,fake,real
image_s45_062,fake,real
image_s45_064,fake,real
image_s45_067,real,fake
image_s45_069,real,fake
image_s45_071,real,fake
image_s45_074,real,fake
image_s45_075,real,fake
image_s45_078,fake,real
image_s45_080,real,fake
image_s45_081,real,fake
image_s45_082,real,fake
image_s45_083,fake,real
image_s45_084,real,fake
image_s45_086,fake,real
image_s45_089,real,fake
image_s45_090,fake,real
image_s45_091,fake,real
image_s45_092,fake,real
image_s45_093,real,fake
image_s45_097,fake,real
image_s45_100,fake,real
image_s45_102,real,fake
image_s45_104,fake,real
image_s45_105,fake,real
image_s45_106,real,fake
image_s45_107,real,fake
image_s45_108,fake,real
image_s45_110,fake,real
image_s45_111,real,fake
image_s45_113,real,fake
image_s45_114,fake,real
image_s45_115,fake,real
image_s45_116,fake,real
image_s45_117,real,fake
image_s45_118,fake,real
image_s45_119,real,fake
image_s45_121,fake,real
image_s45_122,fake,real
image_s45_124,fake,real
image_s45_125,real,fake
image_s45_126,fake,real
image_s45_127,real,fake
image_s45_128,real,fake
image_s45_131,real,fake
image_s45_133,fake,real
image_s45_134,fake,real
image_s45_135,real,fake
image_s45_136,fake,real
image_s45_137,real,fake
image_s45_139,real,fake
image_s45_142,real,fake
image_s45_143,real,fake
image_s45_146,real,fake
image_s45_147,fake,real
image_s45_148,fake,real
image_s45_149,real,fake
image_s45_150,real,fake
image_s45_156,fake,real
image_s45_157,fake,real
image_s45_159,real,fake
image_s45_162,fake,real
image_s45_164,fake,real
image_s45_166,real,fake
image_s45_167,real,fake
image_s45_170,fake,real
image_s45_171,fake,real
image_s45_173,real,fake
image_s45_175,real,fake
image_s45_176,real,fake
image_s45_178,fake,real
image_s45_181,fake,real
image_s45_182,real,fake
image_s45_185,fake,real
image_s45_190,fake,real
image_s45_193,real,fake
image_s45_195,real,fake
