,plate,well,fov,model,umap1,umap2
0,BR00117013,r07c04,05,real,12.765144,5.1080003
1,BR00117010,r07c13,03,real,13.845691,9.740063
2,BR00117010,r07c13,03,real,12.328417,2.1046536
3,BR00117010,r07c13,03,real,13.383851,4.9208174
4,BR00117013,r08c17,02,real,14.11344,8.29776
5,BR00117026,r11c06,02,real,13.020459,3.5748153
6,BR00117026,r11c06,02,real,10.047447,5.6852384
7,BR00117026,r11c06,02,real,12.483429,7.1909604
8,BR00117026,r09c21,03,real,13.08543,9.722934
9,BR00117026,r09c21,03,real,13.022925,5.491775
10,BR00117026,r09c21,03,real,11.69122,10.883964
11,BR00117010,r07c04,01,real,11.378436,7.2023144
12,BR00117010,r07c04,01,real,11.007216,5.721499
13,BR00117013,r06c01,01,real,13.274989,4.8031383
14,BR00117013,r06c01,01,real,13.119568,6.2747955
15,BR00117025,r08c17,06,real,12.353408,7.238637
16,BR00117025,r08c17,06,real,12.625327,2.7859187
17,BR00117025,r08c17,06,real,11.620803,6.0108423
18,BR00117010,r07c18,02,real,11.237851,9.551027
19,BR00117011,r09c09,03,real,12.030505,10.95925
20,BR00117024,r09c22,09,real,10.971012,9.020795
21,BR00117024,r09c22,09,real,11.851264,3.2146707
22,BR00117026,r08c04,07,real,10.9500475,10.276681
23,BR00117026,r08c04,07,real,12.857858,6.1414385
24,BR00117026,r08c13,01,real,11.13439,1.7122982
25,BR00117024,r15c07,09,real,11.305449,-0.3190697
26,BR00117024,r15c07,09,real,11.486204,0.5496805
27,BR00116995,r11c19,01,real,13.448376,7.63365
28,BR00117024,r08c13,03,real,9.759176,10.094693
29,BR00116995,r06c09,05,real,10.137475,9.506019
30,BR00117010,r12c02,07,real,14.487359,9.274259
31,BR00117010,r07c18,09,real,12.670011,9.6288
32,BR00117025,r09c22,09,real,10.319659,9.395331
33,BR00117024,r07c09,01,real,10.960329,11.207424
34,BR00116995,r11c19,09,real,11.909423,2.063911
35,BR00117024,r12c06,09,real,10.524455,7.491103
36,BR00117025,r08c13,02,real,12.020117,3.8729017
37,BR00117025,r08c13,02,real,11.146905,10.846703
38,BR00117013,r11c06,02,real,11.813807,5.584746
39,BR00117011,r09c21,01,real,9.615771,8.827245
40,BR00117011,r09c21,01,real,10.1811495,7.6247253
41,BR00117026,r15c18,07,real,11.411252,0.3084814
42,BR00117024,r13c04,02,real,11.946823,7.4705157
43,BR00117026,r09c10,06,real,10.564447,10.4586935
44,BR00117026,r09c10,06,real,9.580606,8.046346
45,BR00117024,r03c06,09,real,14.043221,7.231611
46,BR00117013,r03c18,07,real,12.28761,11.162346
47,BR00117024,r06c03,04,real,10.235268,11.275908
48,BR00117024,r07c10,06,real,12.479945,2.7067795
49,BR00117011,r15c18,02,real,12.162933,11.395057
50,BR00117025,r04c15,06,real,12.18824,8.203778
51,BR00117024,r11c16,02,real,14.520201,9.599087
52,BR00117010,r04c21,05,real,13.50407,8.951717
53,BR00117010,r04c21,05,real,13.020017,7.6751046
54,BR00117010,r06c09,06,real,13.808859,9.481067
55,BR00117025,r13c23,08,real,10.084918,8.557845
56,BR00117025,r13c23,08,real,13.47449,5.5804105
57,BR00117025,r13c23,08,real,10.523854,8.035274
58,BR00117025,r13c23,08,real,11.494971,0.306203
59,BR00116995,r04c15,02,real,10.644566,8.113957
60,BR00116995,r04c15,02,real,10.917457,-0.37616336
61,BR00116995,r04c15,02,real,11.990196,11.633958
62,BR00117011,r05c14,07,real,14.191285,7.290064
63,BR00117011,r05c14,07,real,10.830333,3.1936162
64,BR00117013,r07c04,03,real,13.489505,6.085163
65,BR00117011,r04c14,07,real,11.094755,6.778583
66,BR00117024,r06c06,06,real,11.629851,2.285762
