,plate,well,fov,model,umap1,umap2
0,BR00117013,r07c04,05,real,-1.3651366,3.4805725
1,BR00117010,r07c13,03,real,-1.4427872,6.045507
2,BR00117010,r07c13,03,real,-0.9896406,2.729048
3,BR00117010,r07c13,03,real,-1.3283038,3.0859056
4,BR00117013,r08c17,02,real,-1.2407058,5.433726
5,BR00117026,r11c06,02,real,-0.9467429,3.6875942
6,BR00117026,r11c06,02,real,-2.9131727,3.1850548
7,BR00117026,r11c06,02,real,-1.9961479,4.3202863
8,BR00117026,r09c21,03,real,-1.597608,5.627495
9,BR00117026,r09c21,03,real,-1.2388223,3.797873
10,BR00117026,r09c21,03,real,-2.541149,6.2084737
11,BR00117010,r07c04,01,real,-2.3200827,4.482491
12,BR00117010,r07c04,01,real,-2.5119915,3.4262905
13,BR00117013,r06c01,01,real,-1.1666356,3.6090605
14,BR00117013,r06c01,01,real,-1.497749,4.2136364
15,BR00117025,r08c17,06,real,-1.7577623,4.496237
16,BR00117025,r08c17,06,real,-1.2142222,2.9624686
17,BR00117025,r08c17,06,real,-2.3012488,3.8803608
18,BR00117010,r07c18,02,real,-2.7551882,5.3637657
19,BR00117011,r09c09,03,real,-2.5304399,5.9842587
20,BR00117024,r09c22,09,real,-2.529315,5.11036
21,BR00117024,r09c22,09,real,-1.8732101,2.7519836
22,BR00117026,r08c04,07,real,-3.2979074,5.4749928
23,BR00117026,r08c04,07,real,-1.5279909,4.1908717
24,BR00117026,r08c13,01,real,-2.1308417,2.094384
25,BR00117024,r15c07,09,real,-1.300208,1.102147
26,BR00117024,r15c07,09,real,-1.5411685,1.5382478
27,BR00116995,r11c19,01,real,-1.1054168,4.6942563
28,BR00117024,r08c13,03,real,-3.4557161,4.8812184
29,BR00116995,r06c09,05,real,-3.2918513,5.5050464
30,BR00117010,r12c02,07,real,-0.6499862,5.7605696
31,BR00117010,r07c18,09,real,-2.4853919,5.875277
32,BR00117025,r09c22,09,real,-3.0911655,5.245559
33,BR00117024,r07c09,01,real,-2.8726246,6.2283015
34,BR00116995,r11c19,09,real,-1.894896,2.2936928
35,BR00117024,r12c06,09,real,-2.8731642,4.3183303
36,BR00117025,r08c13,02,real,-1.68509,2.826629
37,BR00117025,r08c13,02,real,-2.6507552,5.571052
38,BR00117013,r11c06,02,real,-1.9413276,3.5372186
39,BR00117011,r09c21,01,real,-3.4216113,5.0558033
40,BR00117011,r09c21,01,real,-3.0062268,4.5776224
41,BR00117026,r15c18,07,real,-1.3338168,1.5789697
42,BR00117024,r13c04,02,real,-2.1817403,4.47933
43,BR00117026,r09c10,06,real,-3.076202,5.623477
44,BR00117026,r09c10,06,real,-3.2879164,4.469294
45,BR00117024,r03c06,09,real,-0.8758482,4.8085346
46,BR00117013,r03c18,07,real,-2.5985384,6.4777107
47,BR00117024,r06c03,04,real,-3.2291613,6.100026
48,BR00117024,r07c10,06,real,-1.272196,2.8826373
49,BR00117011,r15c18,02,real,-2.4350154,6.5460787
50,BR00117025,r04c15,06,real,-2.1505506,4.950962
51,BR00117024,r11c16,02,real,-0.9513016,5.972335
52,BR00117010,r04c21,05,real,-1.4165102,5.460193
53,BR00117010,r04c21,05,real,-1.3035344,5.132073
54,BR00117010,r06c09,06,real,-1.3782456,5.8173594
55,BR00117025,r13c23,08,real,-3.014717,4.78059
56,BR00117025,r13c23,08,real,-1.1385025,4.065477
57,BR00117025,r13c23,08,real,-2.848792,4.3949347
58,BR00117025,r13c23,08,real,-1.3991554,1.732072
59,BR00116995,r04c15,02,real,-2.6433058,4.761505
60,BR00116995,r04c15,02,real,-1.182079,1.0344993
61,BR00116995,r04c15,02,real,-2.3532288,6.6190443
62,BR00117011,r05c14,07,real,-0.9580979,4.6288867
63,BR00117011,r05c14,07,real,-2.5973244,2.7396173
64,BR00117013,r07c04,03,real,-1.1712034,4.157526
65,BR00117011,r04c14,07,real,-2.5781765,3.678036
66,BR00117024,r06c06,06,real,-1.9001265,2.4472501
